Time	Longitude	Latitude		Long Deg	Long Min	Long Sek						0			0		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213600	93350733	534040487		9	33	30,4398	9,5584555		53	40	24,2922	53,6734145		9,5584555	53,6734145		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
16213700	93350739	534040480		9	33	30,4434	9,5584565		53	40	24,288	53,67341333		9,5584565	53,67341333		
